Classes de places assises;Année;Essence (ordinaire et super);Gazole;Gaz naturel véhicule (GNV);Autres  et  non déterminées
 10 à 19 places;2001;577;8037;0;59
 20 à 29 places;2001;486;18889;181;167
 30 à 39 places;2001;148;10323;47;44
 40 places et +;2001;62;46406;213;110
 10 à 19 places;2002;505;8307;0;88
 20 à 29 places;2002;429;18747;241;141
 30 à 39 places;2002;122;9775;145;50
 40 places et +;2002;34;47948;303;119
 10 à 19 places;2003;439;8413;0;95
 20 à 29 places;2003;364;18392;326;119
 30 à 39 places;2003;93;7810;179;46
 40 places et +;2003;22;49020;428;130
 10 à 19 places;2004;381;8457;0;124
 20 à 29 places;2004;315;18187;338;103
 30 à 39 places;2004;73;7464;318;46
 40 places et +;2004;12;50504;662;117
 10 à 19 places;2005;313;8504;0;149
 20 à 29 places;2005;249;18107;335;103
 30 à 39 places;2005;45;7759;361;46
 40 places et +;2005;7;51565;761;113
 10 à 19 places;2006;254;8619;1;161
 20 à 29 places;2006;182;17782;336;106
 30 à 39 places;2006;33;7785;373;46
 40 places et +;2006;4;53375;888;110
 10 à 19 places;2007;209;8699;3;192
 20 à 29 places;2007;136;17521;389;163
 30 à 39 places;2007;22;7740;435;106
 40 places et +;2007;0;55077;1112;348
 10 à 19 places;2008;163;8737;12;184
 20 à 29 places;2008;90;17520;438;153
 30 à 39 places;2008;14;7784;453;124
 40 places et +;2008;0;57209;1210;301
 10 à 19 places;2009;102;8192;12;165
 20 à 29 places;2009;43;16815;473;146
 30 à 39 places;2009;8;7830;502;111
 40 places et +;2009;0;57003;1232;240
